system,method,method_key,triangles,surface_error_in_cells,crease_error_in_cells,edge_f1_score,f1_score,inaccurate_normals,volume_error,min_angle,small_angle_share,watertight,non_manifold_edges,sharp_edge_length,seconds
R0,Marching Cubes,mc,11584,0.1939421985818975,0.4872259947090356,0.0,0.34118901115633515,37.939,-9.718459316252577,0.8447836078072642,9.737569060773481,True,0.0,1359.7787626077195,0.016390500008128583
R0,"Dual Marching Cubes, centroid",dmc,11568,0.20990293579054076,0.539404843190965,0.0,0.29566124955686474,38.243,-10.618207449646235,15.657747647128733,0.0,True,0.0,1579.9445488195395,1.0759327999985544
R0,"Dual Contouring, quadratic error function",dc,11568,0.7427165054464965,0.68606144434749,0.0037286173402196294,0.39811410029218236,55.43900000000001,-10.776854650059134,0.013872344888614576,48.7551867219917,True,0.0,22284.80341243485,0.30185920000076294
R-alpha(-0.5),Marching Cubes,mc,11584,0.2367304715906417,0.5076760848136977,0.0,0.20878855290853426,57.401,-12.48393106907053,0.4184164050454742,12.845303867403315,True,0.0,1489.765194520367,0.024114100000588223
R-alpha(-0.5),"Dual Marching Cubes, centroid",dmc,11568,0.24782526193619597,0.5104871140540151,0.0,0.19673527152821813,47.574,-13.110189927104228,14.28868717768595,0.0,True,0.0,1690.3318168316573,0.09514099999796599
R-alpha(-0.5),"Dual Contouring, quadratic error function",dc,11568,0.6617634469896959,0.6333475815757514,0.004511131222191276,0.3152968287119327,62.38399999999999,-14.048316523210973,0.09979972800992196,44.303250345781464,True,0.0,20914.48487084803,0.1126018000068143
R-alpha(0.5),Marching Cubes,mc,11584,0.13911134643744522,1.8326541043402838,0.005984578759079796,0.5273449892941734,23.394000000000002,-6.370165569557173,1.2642971858511236,9.737569060773481,True,0.0,980.8094915717976,0.02744130000064615
R-alpha(0.5),"Dual Marching Cubes, centroid",dmc,11568,0.1611973991303794,0.7721425196530769,0.0,0.45638070881477594,32.992,-7.585630576207594,15.945219490672953,0.0,True,0.0,1347.9493897761652,0.09020989999407902
R-alpha(0.5),"Dual Contouring, quadratic error function",dc,11568,0.8508916577310838,0.6118412528649959,0.005343302191865502,0.483023465864953,47.847,-6.739209001049042,0.14739379103044797,39.83402489626556,True,0.0,22351.063902129685,0.13852829999814276
R-p(4),Marching Cubes,mc,11584,0.13864359889687355,0.7783596531504418,0.002494244230780329,0.5809422624987097,26.836,-5.5717811673647315,1.2546698225446873,13.328729281767956,True,0.0,1095.5206443984937,0.0678557999926852
R-p(4),"Dual Marching Cubes, centroid",dmc,11568,0.15893267005213144,0.7807695356680475,0.0,0.4950561751919061,35.711999999999996,-6.8511485134846835,15.433940568215354,0.0,True,0.0,1344.3562412165898,0.1420802999928128
R-p(4),"Dual Contouring, quadratic error function",dc,11568,1.5079365963662172,1.0135611367931814,0.0054653646751196445,0.29378998828059605,66.201,-4.6818483745581725,0.12581501418364682,32.71092669432918,True,0.0,37060.23787874595,0.19119230000069365
R-p(8),Marching Cubes,mc,11584,0.12542047009854645,1.6196014712187397,0.004741556277165847,0.59173084146877,28.809,-4.789981089644355,1.3773158108892334,13.397790055248619,True,0.0,962.3139642567072,0.04904059998807497
R-p(8),"Dual Marching Cubes, centroid",dmc,11568,0.14672286825522735,0.8076258914538259,0.0,0.5069832565928816,38.786,-6.145185704178366,15.461742684730696,0.0,True,0.0,1322.6907065273238,0.11436310000135563
R-p(8),"Dual Contouring, quadratic error function",dc,11568,2.2603116148945097,0.9917577228489157,0.00820435017816077,0.19214667402095972,80.91199999999999,-11.620239886601114,0.08941031651565602,30.08298755186722,True,0.0,31058.677282703302,0.2848000999947544
R-m0(1),Marching Cubes,mc,11584,0.21834000775886567,0.5668358052634657,0.0021533812428214385,0.2952082793642196,70.334,-10.163194476934056,0.0002659391845759792,24.205801104972377,True,0.0,3436.188809097422,0.015535600003204308
R-m0(1),"Dual Marching Cubes, centroid",dmc,11568,0.21498524444095976,0.6791278402929426,0.0,0.27505470169835966,66.755,-11.030714073656041,12.42387908178331,0.0,True,0.0,1455.320062172367,0.085200999994413
R-m0(1),"Dual Contouring, quadratic error function",dc,11568,32.41033803426276,11.238486327263603,0.0020435753196726037,0.06997941648296685,96.28999999999999,60.86937142030379,0.020940541495769786,49.03181189488243,True,0.0,106423.2553435633,0.09651219999068417
min/max,Marching Cubes,mc,11584,0.07840250357472187,1.6031973599142504,0.028142501516358533,0.7912826037790679,28.122000000000003,-1.8509543628226472,1.902263032769323,11.947513812154696,True,0.0,1054.2140521585034,0.010816800000611693
min/max,"Dual Marching Cubes, centroid",dmc,11568,0.1044420477390342,1.585952462228973,0.0034041012579637095,0.6554010352898124,41.510000000000005,-3.4937220573721697,16.627634997015054,0.0,True,0.0,1156.5507876626718,0.1205529999861028
min/max,"Dual Contouring, quadratic error function",dc,11568,0.10847045668223337,0.24050111633514096,0.20510846410764,0.8943291022676746,20.82,-0.6313749040284742,0.0,11.410788381742739,False,0.03459010722933241,5318.326405712278,0.0965998000028776
