resolution,crossing_median,system,method,method_key,triangles,surface_error_in_cells,crease_error_in_cells,edge_f1_score,f1_score,inaccurate_normals,volume_error,min_angle,small_angle_share,watertight,non_manifold_edges,sharp_edge_length,seconds
16,0.19614703051813198,R-alpha(-0.5),Marching Cubes,mc,3232,0.19504114298256284,0.3860990113294696,0.0,0.09629981661831745,79.73700000000001,-21.80747668446267,0.09155468906211399,35.64356435643564,True,0.0,853.6894755408078,0.08610380000027362
16,0.17324777946170655,R0,Marching Cubes,mc,3232,0.15593671732357545,0.2900787279151484,0.0,0.13939646515292597,69.926,-17.090344888237187,0.7659243800974986,25.247524752475247,True,0.0,734.1600890766101,0.002584200003184378
16,0.10321314252097269,R-alpha(0.5),Marching Cubes,mc,3232,0.11792681769908113,0.5368628889633454,0.009124840866991899,0.2600460829493088,51.083999999999996,-11.862648137155075,1.481768031667745,20.049504950495052,True,0.0,628.2568200977674,0.0029189999913796782
16,0.03731772721606358,R-p(8),Marching Cubes,mc,3232,0.11193029631560045,0.2659931263152898,0.0057390641479722225,0.2851956342244866,45.384,-9.666373294279383,1.2214035595608792,18.564356435643564,True,0.0,779.8037950252564,0.005689099998562597
16,0.011004149748360725,min/max,Marching Cubes,mc,3232,0.07192169272867577,0.8101166040489685,0.013385339906923773,0.36544245547804677,45.76,-3.9082791095941434,2.16930650414157,18.564356435643564,True,0.0,615.1775399875424,0.0021863000001758337
32,0.13553119047869622,R-alpha(-0.5),Marching Cubes,mc,11584,0.2367304715906417,0.5076760848136977,0.0,0.20878855290853426,57.401,-12.48393106907053,0.4184164050454742,12.845303867403315,True,0.0,1489.765194520367,0.009221200001775287
32,0.0876022375711335,R0,Marching Cubes,mc,11584,0.1939421985818975,0.4872259947090356,0.0,0.34118901115633515,37.939,-9.718459316252577,0.8447836078072642,9.737569060773481,True,0.0,1359.7787626077195,0.008428499990259297
32,0.04811304749321847,R-alpha(0.5),Marching Cubes,mc,11584,0.13911134643744522,1.8326541043402838,0.005984578759079796,0.5273449892941734,23.394000000000002,-6.370165569557173,1.2642971858511236,9.737569060773481,True,0.0,980.8094915717976,0.010549500002525747
32,0.012599088823473936,R-p(8),Marching Cubes,mc,11584,0.12542047009854645,1.6196014712187397,0.004741556277165847,0.59173084146877,28.809,-4.789981089644355,1.3773158108892334,13.397790055248619,True,0.0,962.3139642567072,0.03557519998867065
32,0.009253504571166332,min/max,Marching Cubes,mc,11584,0.07840250357472187,1.6031973599142504,0.028142501516358533,0.7912826037790679,28.122000000000003,-1.8509543628226472,1.902263032769323,11.947513812154696,True,0.0,1054.2140521585034,0.00943330000154674
64,0.07495870287887652,R-alpha(-0.5),Marching Cubes,mc,44032,0.22167255833879657,0.9153845956351427,0.0035525732692388606,0.5692645772978667,26.612000000000002,-5.121673030069653,0.3762032680699547,12.44095203488372,True,0.0,2820.868807380176,0.13515140001254622
64,0.047143403297758235,R0,Marching Cubes,mc,44032,0.16734107395227188,3.442598221482444,0.009867470886405813,0.6024900153477297,20.616,-3.621577393707137,1.3945146887532736,9.811046511627906,True,0.0,1902.145618351909,0.0944694000063464
64,0.024133064608439447,R-alpha(0.5),Marching Cubes,mc,44032,0.12289684393090014,3.7452058190503075,0.019119237180222858,0.7825834506722876,19.641000000000002,-2.2541575223489394,1.6937124339223806,8.539244186046512,True,0.0,2035.7262487405717,0.1292710999987321
64,0.00480380863530519,R-p(8),Marching Cubes,mc,44032,0.10536862301292285,3.8061929662320546,0.018556479423050255,0.8454008510436992,21.935,-1.2223521433251934,1.5703719125920514,8.33938953488372,True,0.0,1902.4215212206136,0.21085140001378022
64,0.004350651901562752,min/max,Marching Cubes,mc,44032,0.08691508815112961,1.578866227566033,0.05188051372006914,0.9072470918218337,16.743,-0.7292262207709267,1.5703719125920514,8.012354651162791,True,0.0,2646.3610961644727,0.060691499995300546
