system,method,method_key,triangles,surface_error_in_cells,crease_error_in_cells,edge_f1_score,f1_score,inaccurate_normals,volume_error,min_angle,small_angle_share,watertight,non_manifold_edges,sharp_edge_length,seconds
R0,Marching Cubes,mc,12928,0.12299315253962106,0.44471329037809754,0.0,0.2184203729379733,8.363,-2.7250661933679727,0.436543757549087,4.084158415841585,True,0.0,761.2117248791245,0.005551500013098121
R0,"Dual Marching Cubes, centroid",dmc,12928,0.13137880465288743,0.45328412218096203,0.0,0.21228413666439047,8.286,-2.8079764818589164,14.303773774211486,0.0,True,0.0,500.79507163678,0.688794700006838
R0,"Dual Contouring, quadratic error function",dc,12928,0.1252849119278835,1.754949977514964,0.0,0.20025494494519486,7.1499999999999995,-3.282404929497713,0.3033397932975796,16.522277227722775,True,0.0,4482.673470797948,0.19324520000373013
R-alpha(-0.5),Marching Cubes,mc,12928,0.1690791616512643,0.48154839649760706,0.0,0.21880406038046085,9.828000000000001,-3.9664511600446732,0.3827157715832256,9.22029702970297,True,0.0,743.7969099954784,0.00549670000327751
R-alpha(-0.5),"Dual Marching Cubes, centroid",dmc,12928,0.17470079893893448,0.5001894529005773,0.0,0.21265349017580146,7.598000000000001,-4.015903684486518,14.345234467963698,0.0,True,0.0,499.95266182279767,0.07381999999051914
R-alpha(-0.5),"Dual Contouring, quadratic error function",dc,12928,0.17130400890640873,1.9426743856102926,0.0,0.21678221611555232,7.720000000000001,-4.523354883059934,0.18832059390952188,12.530940594059405,True,0.0,4719.406663556153,0.09453280000889208
R-alpha(0.5),Marching Cubes,mc,12928,0.0825812724683027,0.41888069702344727,0.0,0.6657195194293223,4.077999999999999,-1.5331521134798856,0.48185949222057683,3.8985148514851486,True,0.0,767.0651407050551,0.006005400005960837
R-alpha(0.5),"Dual Marching Cubes, centroid",dmc,12928,0.09378128236035886,0.4092414841913348,0.0,0.6485067867053093,9.161999999999999,-1.6489249347367507,14.356415488994752,0.0,True,0.0,501.8679482941874,0.07180819999484811
R-alpha(0.5),"Dual Contouring, quadratic error function",dc,12928,0.4227037377537116,1.4900612989748079,0.0,0.44453042948339677,12.581999999999999,-2.0962387328413405,0.508645724339242,7.858910891089109,True,0.0,5475.381841659364,0.07187899999553338
R-p(4),Marching Cubes,mc,12928,0.06708670380055755,0.41312880684044584,0.0,0.8491474499576112,14.91,-0.6007799156808954,0.4965394248746332,3.9603960396039604,True,0.0,767.3318478678524,0.014127700007520616
R-p(4),"Dual Marching Cubes, centroid",dmc,12928,0.07896081581092922,0.3981380989283918,0.0,0.834758310786938,10.489999999999998,-0.7372123367973977,14.0293410920562,0.0,True,0.0,501.5113688727079,0.08768630000122357
R-p(4),"Dual Contouring, quadratic error function",dc,12928,4.284836260826667,2.253653973092125,0.0006969364879999519,0.49869849459450294,45.086999999999996,-5.094459300049179,0.055722810753256705,24.00990099009901,True,0.0,12513.960320517732,0.12384659999224823
R-p(8),Marching Cubes,mc,12928,0.06068556805835539,0.40745608217446055,0.0,0.881853664476556,10.693999999999999,-0.42709358143030335,0.5022632808421779,3.9603960396039604,True,0.0,768.2810770897277,0.012226599996211007
R-p(8),"Dual Marching Cubes, centroid",dmc,12928,0.07274198895098993,0.3838866257284051,0.0,0.866864657570585,11.516,-0.5693499545675643,14.02435628452344,0.0,True,0.0,501.8804178726539,0.08901220001280308
R-p(8),"Dual Contouring, quadratic error function",dc,12928,6.0693356918738495,8.718375139004996,0.00043688728213556557,0.20777047602101692,46.672999999999995,-5.596606091100888,0.12918970910001065,4.455445544554455,True,0.0,16405.12320445145,0.1370059000037145
R-m0(1),Marching Cubes,mc,12928,0.168266658458023,1.4304872641080746,0.0,0.3241345141588006,25.130999999999997,-3.9213246189298587,0.008239098301641918,5.445544554455446,True,0.0,833.3057956896027,0.006656400000792928
R-m0(1),"Dual Marching Cubes, centroid",dmc,12928,0.1667977939239409,0.47942566524146585,0.0,0.32715451306340715,19.303,-3.8582312255798796,20.05480041097706,0.0,True,0.0,479.14172104886933,0.08887170000525657
R-m0(1),"Dual Contouring, quadratic error function",dc,12928,0.22190151659101878,1.2838740410556722,0.007236821373159219,0.12281225945860998,36.175000000000004,-3.211762445016286,0.03469469197134902,26.732673267326735,True,0.0,5676.395878773085,0.11242210000636987
min/max,Marching Cubes,mc,12928,0.04513657159488292,0.4003117810613701,0.0,0.941819991400224,6.5280000000000005,-0.12461201651327938,0.5216108007642996,3.9603960396039604,True,0.0,775.8671917406405,0.004920099992887117
min/max,"Dual Marching Cubes, centroid",dmc,12928,0.05732166953073625,0.340085448743852,0.0,0.8955668679245283,11.185,-0.28637281942732407,14.524587097510077,0.0,True,0.0,503.96031455633045,0.07882939999399241
min/max,"Dual Contouring, quadratic error function",dc,12928,0.025654442272616075,0.267406898211106,0.3428672438662872,0.956319443927627,3.837,-0.01795615642254239,2.0580140823716677,1.547029702970297,True,0.0,1380.0450486446168,0.09031210000102874
